ds,y
12/10/16,	4
1/10/17,	3
2/10/17,	4.5
3/10/17	,5
4/10/17,	6
5/10/17	,7
6/10/17	,8
7/10/17	,8
8/10/17	,8
9/10/17	,8
10/10/17,	8
11/10/17,	8
12/10/17,	8
1/10/18	,8
2/10/18	,8
3/10/18	,8
4/10/18	,5
5/10/18	,3.5
6/10/18	,6
7/10/18	,7
8/10/18	,9
9/10/18	,10
10/10/18,	10
11/10/18,	10
12/10/18,	10
01/12/2019,80

01/12/2019,80

01/12/2019,80


02/09/2019,1

02/09/2019,1

01/12/2019,80

02/09/2019,2

02/09/2019,1

02/09/2019,2

02/09/2019,2

02/09/2019,1

02/09/2019,1

02/09/2019,1

02/09/2019,1

02/09/2019,1

02/09/2019,1

02/09/2019,1

02/09/2019,1

02/09/2019,2

02/09/2019,2

02/09/2019,1

02/09/2019,1

02/09/2019,2

02/09/2019,1

02/09/2019,2

02/09/2019,1

02/09/2019,1

02/09/2019,1

02/09/2019,1

02/09/2019,1

02/09/2019,2

02/09/2019,1

02/09/2019,1

02/09/2019,2

02/09/2019,1

02/09/2019,2

02/09/2019,2

02/09/2019,2

02/09/2019,2

02/09/2019,2

02/09/2019,2

02/09/2019,1

02/09/2019,2

02/09/2019,1

02/09/2019,2

02/09/2019,1

02/09/2019,2

02/09/2019,2

02/09/2019,2

02/09/2019,2

02/09/2019,1

02/09/2019,2

02/09/2019,2

02/09/2019,1

02/09/2019,1

02/09/2019,1

02/09/2019,1

02/09/2019,2

02/09/2019,2

02/09/2019,2
