ds,y
2007-12-10,4
2008-01-10,3
2008-02-10,4.5
2008-03-10,5
2008-04-10,6
2008-05-10,7
2008-06-10,8
2008-07-10,8
2008-08-10,8
2008-09-10,8
2008-10-10,8
2008-11-10,8
2008-12-10,8
2009-01-10,8
2009-02-10,8
2009-03-10,8
2009-04-10,5
2009-05-10,3.5
2009-06-10,6
2009-07-10,7
2009-08-10,9
2009-09-10,10
2009-10-10,10
2009-11-10,10
2009-12-10,10
2010-01-10,10
2010-02-10,10
2010-03-10,10
2010-04-10,10
2010-05-10,6
2010-06-10,6
2010-07-10,5
2010-08-10,5
2010-09-10,6
2010-10-10,7
2010-11-10,7
